O.3   c.3      0.06341883  3  8  0  43
O.3   c.2     -0.46853873  3  8  1  44
O.3   c.ar     0.31697563  3  8  2  45
O.3   n.4     -1.97314454  3  8  3  46
O.3   n.pl3   -1.69503060  3  8  5  47
O.3   o.3     -1.57049105  3  8  6  48
O.3   o.2     -1.58781061  3  8  7  49
O.3   o.co2   -2.29622005  3  8  8  50
O.3   n.ar    -1.53351654  3  8 10  51
O.2   c.3      0.91814782  3  9  0  52
O.2   c.2      0.97324577  3  9  1  53
O.2   c.ar     1.12421156  3  9  2  54
O.2   n.4     -1.48353398  3  9  3  55
O.2   n.am    -1.23675640  3  9  4  56
O.2   n.pl3   -1.34026100  3  9  5  57
O.2   o.3     -0.32787164  3  9  6  58
O.2   o.2      0.20719026  3  9  7  59
O.2   o.co2    0.20824427  3  9  8  60
O.2   n.ar    -0.63479157  3  9 10  61
O.CO2 c.3     -0.08814863  3 10  0  62
O.CO2 c.2      0.03477416  3 10  1  63
O.CO2 c.ar     0.75810110  3 10  2  64
O.CO2 n.4     -2.67661094  3 10  3  65
O.CO2 n.am    -1.67335509  3 10  4  66
O.CO2 n.pl3   -2.02741590  3 10  5  67
O.CO2 o.3     -2.34454987  3 10  6  68
O.CO2 o.2     -0.97950978  3 10  7  69
O.CO2 o.co2   -1.65273421  3 10  8  70
O.CO2 n.ar    -2.14301041  3 10 10  71
MET   c.2     -4.57013887  3 11  1  72
MET   o.3     -3.57685627  3 11  6  73
MET   o.2     -3.97829315  3 11  7  74
MET   o.co2   -4.12086370  3 11  8  75
MET   p.3     -5.28891343  3 11  9  76
C.3   c.3      1.07586518  4  0  0   1
C.3   c.2      0.87624859  4  0  1   2
C.3   c.ar     0.63676387  4  0  2   3
C.3   o.3     -0.10160944  4  0  6   4
C.3   o.2     -0.46203821  4  0  7   5
C.3   o.co2   -0.38270075  4  0  8   6
C.3   n.ar     0.01622281  4  0 10   7
C.3   f       -0.62698414  4  0 11   8
C.2   c.3      1.09498990  4  1  0   9
C.2   c.ar     0.77279585  4  1  2  10
C.2   n.4     -0.43273216  4  1  3  11
C.2   o.3     -0.46814573  4  1  6  12
C.2   o.2     -0.27962750  4  1  7  13
C.2   o.co2   -0.22797829  4  1  8  14
C.2   n.ar    -0.02740742  4  1 10  15
C.AR  c.3      0.05775472  4  2  0  16
C.AR  c.2     -0.12496210  4  2  1  17
C.AR  c.ar    -0.03509108  4  2  2  18
C.AR  o.3     -0.38896967  4  2  6  19
C.AR  o.2     -0.63491713  4  2  7  20
C.AR  o.co2   -0.47022995  4  2  8  21
C.AR  n.ar    -0.15526813  4  2 10  22
C.AR  f       -0.91300038  4  2 11  23
C.CAT o.co2   -1.69844675  4  3  8  24
N.4   o.3     -1.36517692  4  4  6  25
N.4   o.co2   -1.81205623  4  4  8  26
N.AM  c.3      0.97336771  4  5  0  27
N.AM  c.2      0.41466336  4  5  1  28
N.AM  c.ar     0.72993087  4  5  2  29
N.AM  o.3     -0.11447619  4  5  6  30
N.AM  o.2     -0.38745901  4  5  7  31
N.AM  o.co2   -0.43756150  4  5  8  32
N.AM  n.ar    -0.16287834  4  5 10  33
N.PL3 c.3      0.09547903  4  6  0  34
N.PL3 c.2     -0.78393545  4  6  1  35
N.PL3 c.ar    -0.13993798  4  6  2  36
N.PL3 o.3     -0.94479679  4  6  6  37
N.PL3 o.2     -0.97034890  4  6  7  38
N.PL3 o.co2   -1.55554354  4  6  8  39
N.2   o.3     -1.83924934  4  7  6  40
N.2   o.2     -1.98764630  4  7  7  41
N.2   o.co2   -1.88683583  4  7  8  42
O.3   c.3     -0.79226228  4  8  0  43
O.3   c.2     -1.01272101  4  8  1  44
O.3   c.ar    -0.56393490  4  8  2  45
O.3   n.4     -1.13730275  4  8  3  46
O.3   n.pl3   -1.10405687  4  8  5  47
O.3   o.3     -0.67639520  4  8  6  48
O.3   o.2     -0.74456302  4  8  7  49
O.3   o.co2   -1.05799833  4  8  8  50
O.3   n.ar    -0.80325732  4  8 10  51
O.2   c.3     -0.14302344  4  9  0  52
O.2   c.2      0.28508463  4  9  1  53
O.2   c.ar    -0.01925140  4  9  2  54
O.2   n.4     -0.36064591  4  9  3  55
O.2   n.am    -0.20492690  4  9  4  56
O.2   n.pl3   -0.31086046  4  9  5  57
O.2   o.3      0.11628818  4  9  6  58
O.2   o.2     -0.17782226  4  9  7  59
O.2   o.co2    0.20187436  4  9  8  60
O.2   n.ar    -0.15383158  4  9 10  61
O.CO2 c.3     -1.10375800  4 10  0  62
O.CO2 c.2     -0.59399166  4 10  1  63
O.CO2 c.ar    -0.49542164  4 10  2  64
O.CO2 n.4     -1.72617788  4 10  3  65
O.CO2 n.am    -0.95654928  4 10  4  66
O.CO2 n.pl3   -1.10765115  4 10  5  67
O.CO2 o.3     -1.39874819  4 10  6  68
O.CO2 o.2     -0.75789719  4 10  7  69
O.CO2 o.co2   -1.30982029  4 10  8  70
O.CO2 n.ar    -1.11061165  4 10 10  71
MET   c.2     -3.50567795  4 11  1  72
MET   o.3     -3.08814926  4 11  6  73
MET   o.2     -3.18571511  4 11  7  74
MET   o.co2   -3.04790340  4 11  8  75
MET   p.3     -5.48233858  4 11  9  76
C.3   c.3      0.40299033  5  0  0   1
C.3   c.2      0.31140618  5  0  1   2
C.3   c.ar     0.05368971  5  0  2   3
C.3   o.3      0.06971181  5  0  6   4
C.3   o.2     -0.16867570  5  0  7   5
C.3   o.co2   -0.11164095  5  0  8   6
C.3   n.ar    -0.17149017  5  0 10   7
C.3   f       -0.20468895  5  0 11   8
C.2   c.3      0.38485355  5  1  0   9
C.2   c.ar     0.29921082  5  1  2  10
C.2   n.4     -0.22276174  5  1  3  11
C.2   o.3     -0.12598851  5  1  6  12
C.2   o.2     -0.17294569  5  1  7  13
C.2   o.co2   -0.23682333  5  1  8  14
C.2   n.ar    -0.17393309  5  1 10  15
C.AR  c.3     -0.48943875  5  2  0  16
C.AR  c.2     -0.50297607  5  2  1  17
C.AR  c.ar    -0.50204833  5  2  2  18
C.AR  o.3     -0.32574704  5  2  6  19
C.AR  o.2     -0.48589311  5  2  7  20
